player_name,team.code,location,predicted_assists_5th_percentile,predicted_assists_95th_percentile,predicted_points_5th_percentile,predicted_points_95th_percentile,predicted_rebounds_5th_percentile,predicted_rebounds_95th_percentile
Keyonte George,UTA,home,2.9246412273209503,5.822149340564845,9.365807211062277,19.551508497439077,3.4343606483764373,5.426708644968077
Kyle Filipowski,UTA,home,0.8621438641966399,2.7815448526560886,3.5136285541717425,13.490192444550882,1.6856197332312368,5.299099925186544
Lauri Markkanen,UTA,home,2.094612417416901,4.1693447873336416,10.091535132128755,22.83719825263311,3.832373684614722,7.0176454608928704
Micah Potter,UTA,home,0.8461375872645605,2.6713649052471737,2.2168907466204213,13.339652506797115,1.4534805383385654,5.128974551275521
Patty Mills,UTA,home,0.8182218905734171,1.5111791235009777,2.4213200027859845,6.642682726350236,1.4227612002089511,3.179927530665183
Svi Mykhailiuk,UTA,home,0.8608924661858858,2.633911797413545,3.1258895598460055,13.167620062039763,1.5849968651463977,4.956834352539709
Taylor Hendricks,UTA,home,1.1342728145927476,3.3386376252550334,5.069098089013152,15.85775052194825,2.3828029188495115,4.980304063505071
Walker Kessler,UTA,home,1.9720463339690282,4.218949556595326,9.958583398594756,22.51278779947566,4.570681166342473,8.639817268345206
Caris LeVert,CLE,visitor,1.7624089494834236,3.097053767716311,6.772956674361347,14.74940442959009,2.5831006389220885,4.948993795190309
Craig Jr. Porter,CLE,visitor,0.8790564183227904,3.518815160899689,3.149182660321365,14.660992497477443,1.5532239289867353,4.795022973507393
Darius Garland,CLE,visitor,3.1072198239387427,4.873283142155568,11.576488694810015,20.867108701543295,3.3815568464328125,5.6284942313010955
Dean Wade,CLE,visitor,1.1019026024921657,2.6336050954704606,4.768093255708601,12.425955787773773,2.499721551539754,4.56616579149308
Donovan Mitchell,CLE,visitor,2.47136380683852,4.700758909878726,11.449623745731346,25.20249292444799,3.581006655141327,6.906765875426168
Evan Mobley,CLE,visitor,2.3343688964980887,4.959315382719067,11.049924247621808,26.27632030445485,4.086067501265888,8.384223215351641
Georges Niang,CLE,visitor,0.9831382864647407,2.3517799577103276,4.245841371536694,11.27007401276168,2.2023532070473983,4.0283713999320305
