player_name,team.code,location,predicted_assists_mean,predicted_assists_median,predicted_assists_std,predicted_assists_95th_percentile,predicted_points_mean,predicted_points_median,predicted_points_std,predicted_points_95th_percentile,predicted_rebounds_mean,predicted_rebounds_median,predicted_rebounds_std,predicted_rebounds_95th_percentile
Jared McCain,PHI,visitor,2.493908568965556,2.4520421668156374,0.9361412520480358,4.188534517821428,12.765519910347582,13.180228142047937,5.009095445720943,20.370095435737614,4.144505504533054,3.9968142236940674,1.0492995059472654,5.84814776773424
Jeff Dowtin,PHI,visitor,1.5909690628417212,1.5488006978113595,0.480125168124896,2.4369579004255937,7.241799245760961,6.9637529114176235,2.5999392484259967,11.83717768905888,3.0928429151551726,2.9928699977107707,0.8664450365595282,4.834134999457757
Joel Embiid,PHI,visitor,3.5452256855617184,3.626162706824794,1.016401296797629,5.253868072531387,17.069023437383578,16.53543511960699,4.683438466297202,26.021263063601072,5.595985691876371,5.529840664672008,1.092865094605835,7.517354205571055
Justin Edwards,PHI,visitor,1.5376887223304134,1.3053159314745575,0.8105434163916304,2.9893441168660417,7.228729903093903,6.155643681849571,4.2372119908272605,15.720081856169184,2.9040474731808024,2.6620353546978395,1.211583055072489,5.149320704995871
Kelly Oubre Jr.,PHI,visitor,2.6290948427517518,2.52251022346006,0.6171900815977014,3.677284043911125,13.655693982124681,13.01332921624818,3.431957082021128,19.351586849233865,4.509567982458164,4.397830326993923,0.7095159615154217,5.6919473893054535
Kenyon Martin Jr.,PHI,visitor,1.8532958303508003,1.8191621625687149,0.5332000382356505,2.588247601304984,8.583764939697422,8.077859474400109,2.6944111818542775,13.681413391246881,3.5958756999449495,3.507342060241899,0.8395162038611734,5.160238078977609
Kyle Lowry,PHI,visitor,1.7366802749743502,1.6605481997388765,0.5648923473406957,2.8563041062405565,7.199474515853987,7.02499948623097,2.8306518779090815,12.243485926875932,2.9426313736461838,2.9609515667319113,0.7617441754311335,4.43579341687566
Lester Quinones,PHI,visitor,1.1673069512417167,1.0924007584913873,0.34628460475756734,1.740604107346154,5.6145694273966145,5.592797113107209,1.7837721062065108,8.898841411366663,2.652568485349714,2.5314136206390723,0.6965652356347064,3.8828202743596067
Paul George,PHI,visitor,3.458957711759774,3.588488641925719,1.0502426202159958,5.077965685259698,14.710183176959006,14.716808280400663,4.040312058588395,21.483108373106223,4.861677479152987,4.9405531107293275,0.9393715262444564,6.433768959308098
Reggie Jackson,PHI,visitor,1.479057195433384,1.4937108026425978,0.45340969342499166,2.35084025615291,6.5639699951873185,6.294252165782012,2.3896624778001785,11.027476012699562,2.912868908805759,2.8978931736065627,0.8322336272316162,4.36676946131011
Ricky IV Council,PHI,visitor,1.351076497756975,1.237051710266278,0.48903376355188116,2.311967776820695,6.209053608656724,5.888233823263408,2.578331856880308,11.357709007249733,2.695417065410678,2.57357254363183,0.9022859787900498,4.213233387640291
Tyrese Maxey,PHI,visitor,3.970519351960203,3.7499148948519245,1.1623520868708668,6.067158888038279,20.36215858486474,19.65865935478272,5.856629872146946,30.158442038916725,5.273750244972198,5.366174514057315,0.8439907957252382,6.82967160564498
Alex Len,SAC,home,1.2306563260427414,1.1233556100347353,0.4119303530902217,2.0236641228358008,5.7650288685211475,5.831200159197347,2.023890105601541,9.592737529341303,3.676240439361972,3.8221381803174577,0.9173518094007924,5.007382936926999
Boogie Ellis,SAC,home,0.8575055358259496,0.8118305226883917,0.13866860811415335,1.125232456826129,4.124864801977685,3.7316100996414154,1.2400650161914533,6.247928766060109,2.019978746205763,2.103664768628535,0.37950112135801994,2.686134066541476
Colby Jones,SAC,home,1.0357139128927715,0.9853666977764118,0.2545071933612846,1.535220451892752,4.635256463810378,4.49007516732957,1.508037288485567,7.015563175398893,2.3266428298775224,2.239401931123414,0.4439154388654445,3.107268308468032
De'Aaron Fox,SAC,home,4.277781283617076,4.3890115398685605,0.8185764290250789,5.2203887745267155,20.280205057400156,19.664205647391064,4.0281742111376,29.30830728529738,5.62257129284798,5.711033263381562,0.7065621089270211,6.6645862350953164
DeMar DeRozan,SAC,home,3.7094169174372333,3.6774337907909107,0.7730439256975045,4.785565672222801,19.07074635223801,19.606409875268916,4.787787436394337,26.658760700095367,5.0280527864785975,4.837077371552812,0.8043079049618489,6.409465186245807
Domantas Sabonis,SAC,home,4.765069279810561,4.785245635478533,0.7774579630118422,5.909136214586882,21.515198375087465,20.93947674703572,4.316811079069652,28.33198042513935,8.379717560976205,8.567067652904571,1.5145771078296746,10.921613767459498
Doug McDermott,SAC,home,1.0544613170632393,1.0308436446778473,0.2580623260757044,1.6954071029969289,4.83223219176912,4.589089285507768,1.38694795683457,7.034464209484093,2.352877903528657,2.2598437902461743,0.4170008119300305,3.0567713165807957
Isaac Jones,SAC,home,1.464141365571997,1.4513445730349654,0.4182905505140939,2.227713008471622,6.975976018982484,6.850124272983878,1.9419686504570497,10.169152078135333,3.166283131336203,3.1728792037907114,0.6399108425717946,4.272780915646268
Isaiah Crawford,SAC,home,0.9826286323832403,0.9110849411270538,0.21737047622154249,1.414776123464416,4.513026234544547,4.273566956799569,1.3710691770241237,6.828817975219042,2.5450226789646524,2.6727264799716135,0.4477251941067868,3.1472228075453716
