,game_date,status,away_name,home_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,venue_id
119,2024-03-29,Final,Toronto Blue Jays,Tampa Bay Rays,Aaron Civale,Chris Bassitt,2,8,12
120,2024-03-29,Final,Pittsburgh Pirates,Miami Marlins,A.J. Puk,Martín Pérez,7,2,4169
121,2024-03-29,Final,New York Yankees,Houston Astros,Cristian Javier,Carlos Rodón,7,1,2392
122,2024-03-29,Final,Colorado Rockies,Arizona Diamondbacks,Merrill Kelly,Cal Quantrill,3,7,15
123,2024-03-29,Final,Cleveland Guardians,Oakland Athletics,Ross Stripling,Logan Allen,6,4,10
124,2024-03-29,Final,Boston Red Sox,Seattle Mariners,George Kirby,Nick Pivetta,0,1,680
125,2024-03-29,Final,San Francisco Giants,San Diego Padres,Joe Musgrove,Kyle Harrison,8,3,2680
126,2024-03-29,Final,St. Louis Cardinals,Los Angeles Dodgers,Bobby Miller,Zack Thompson,3,6,22
127,2024-03-30,Final,Milwaukee Brewers,New York Mets,Luis Severino,DL Hall,7,6,3289
128,2024-03-30,Final,Detroit Tigers,Chicago White Sox,Michael Soroka,Kenta Maeda,7,6,4
129,2024-03-30,Final,Los Angeles Angels,Baltimore Orioles,Grayson Rodriguez,Griffin Canning,4,13,2
130,2024-03-30,Final,Atlanta Braves,Philadelphia Phillies,Aaron Nola,Max Fried,12,4,2681
131,2024-03-30,Final,Cleveland Guardians,Oakland Athletics,JP Sears,Tanner Bibee,12,3,10
132,2024-03-30,Final,Washington Nationals,Cincinnati Reds,Hunter Greene,Patrick Corbin,7,6,2602
133,2024-03-30,Final,Toronto Blue Jays,Tampa Bay Rays,Zack Littell,Yusei Kikuchi,1,5,12
134,2024-03-30,Final,Minnesota Twins,Kansas City Royals,Seth Lugo,Joe Ryan,5,1,7
135,2024-03-30,Final,Pittsburgh Pirates,Miami Marlins,Ryan Weathers,Jared Jones,9,3,4169
136,2024-03-30,Final,Chicago Cubs,Texas Rangers,Cody Bradford,Kyle Hendricks,2,11,5325
137,2024-03-30,Final,San Francisco Giants,San Diego Padres,Dylan Cease,Jordan Hicks,9,6,2680
138,2024-03-30,Final,New York Yankees,Houston Astros,Hunter Brown,Marcus Stroman,5,3,2392
139,2024-03-30,Final,Colorado Rockies,Arizona Diamondbacks,Tommy Henry,Austin Gomber,9,4,15
140,2024-03-30,Final,St. Louis Cardinals,Los Angeles Dodgers,Yoshinobu Yamamoto,Lance Lynn,6,5,22
141,2024-03-30,Final,Boston Red Sox,Seattle Mariners,Logan Gilbert,Kutter Crawford,3,4,680
142,2024-03-31,Final,Los Angeles Angels,Baltimore Orioles,Tyler Wells,Reid Detmers,4,1,2
143,2024-03-31,Final,Atlanta Braves,Philadelphia Phillies,Ranger Suárez,Chris Sale,4,5,2681
144,2024-03-31,Final,Washington Nationals,Cincinnati Reds,Nick Martinez,Jake Irvin,5,6,2602
145,2024-03-31,Final,Toronto Blue Jays,Tampa Bay Rays,Shawn Armstrong,Kevin Gausman,9,2,12
146,2024-03-31,Final,Pittsburgh Pirates,Miami Marlins,Trevor Rogers,Bailey Falter,9,7,4169
147,2024-03-31,Final,Milwaukee Brewers,New York Mets,Tylor Megill,Colin Rea,4,1,3289
148,2024-03-31,Final,Minnesota Twins,Kansas City Royals,Brady Singer,Bailey Ober,0,11,7
149,2024-03-31,Final,Detroit Tigers,Chicago White Sox,Erick Fedde,Jack Flaherty,3,2,4
150,2024-03-31,Final,New York Yankees,Houston Astros,J.P. France,Clarke Schmidt,4,3,2392
151,2024-03-31,Final,Chicago Cubs,Texas Rangers,Jon Gray,Jordan Wicks,9,5,5325
152,2024-03-31,Final,Cleveland Guardians,Oakland Athletics,Paul Blackburn,Carlos Carrasco,3,4,10
153,2024-03-31,Final,Colorado Rockies,Arizona Diamondbacks,Brandon Pfaadt,Ryan Feltner,1,5,15
154,2024-03-31,Final,Boston Red Sox,Seattle Mariners,Bryce Miller,Garrett Whitlock,5,1,680
155,2024-03-31,Final,San Francisco Giants,San Diego Padres,Michael King,Daulton Jefferies,4,13,2680
156,2024-03-31,Final,St. Louis Cardinals,Los Angeles Dodgers,Gavin Stone,Steven Matz,4,5,22
157,2024-04-01,Completed Early: Rain,Atlanta Braves,Chicago White Sox,Chris Flexen,Charlie Morton,9,0,4
158,2024-04-01,Final,Colorado Rockies,Chicago Cubs,Shota Imanaga,Dakota Hudson,0,5,17
159,2024-04-01,Final,Pittsburgh Pirates,Washington Nationals,MacKenzie Gore,Marco Gonzales,8,4,3309
160,2024-04-01,Final,Kansas City Royals,Baltimore Orioles,Dean Kremer,Michael Wacha,4,6,2
161,2024-04-01,Final,Cincinnati Reds,Philadelphia Phillies,Cristopher Sánchez,Andrew Abbott,6,3,2681
162,2024-04-01,Final,Los Angeles Angels,Miami Marlins,Max Meyer,Chase Silseth,7,4,4169
163,2024-04-01,Final,Texas Rangers,Tampa Bay Rays,Ryan Pepiot,Dane Dunning,9,3,12
164,2024-04-01,Final,Detroit Tigers,New York Mets,Sean Manaea,Reese Olson,5,0,3289
165,2024-04-01,Final,Toronto Blue Jays,Houston Astros,Ronel Blanco,Bowden Francis,0,10,2392
166,2024-04-01,Final,Boston Red Sox,Oakland Athletics,Joe Boyle,Tanner Houck,9,0,10
167,2024-04-01,Final,Cleveland Guardians,Seattle Mariners,Emerson Hancock,Triston McKenzie,4,5,680
168,2024-04-01,Final,St. Louis Cardinals,San Diego Padres,Matt Waldron,Kyle Gibson,6,2,2680
169,2024-04-01,Final,New York Yankees,Arizona Diamondbacks,Ryne Nelson,Luis Gil,5,2,15
170,2024-04-01,Final,San Francisco Giants,Los Angeles Dodgers,James Paxton,Keaton Winn,3,8,22
171,2024-04-02,Final,Minnesota Twins,Milwaukee Brewers,Jakob Junis,Louie Varland,2,3,32
172,2024-04-02,Final,Kansas City Royals,Baltimore Orioles,Cole Irvin,Alec Marsh,4,1,2
173,2024-04-02,Final,Cincinnati Reds,Philadelphia Phillies,Spencer Turnbull,Graham Ashcraft,4,9,2681
174,2024-04-02,Final,Los Angeles Angels,Miami Marlins,Jesús Luzardo,Tyler Anderson,3,1,4169
175,2024-04-02,Final,Texas Rangers,Tampa Bay Rays,Zach Eflin,Andrew Heaney,2,5,12
176,2024-04-02,Final,Colorado Rockies,Chicago Cubs,Javier Assad,Kyle Freeland,2,12,17
177,2024-04-02,Final,Atlanta Braves,Chicago White Sox,Garrett Crochet,Reynaldo López,2,3,4
178,2024-04-02,Final,Toronto Blue Jays,Houston Astros,Framber Valdez,José Berríos,2,1,2392
179,2024-04-02,Final,Boston Red Sox,Oakland Athletics,Alex Wood,Brayan Bello,5,4,10
180,2024-04-02,Final,Cleveland Guardians,Seattle Mariners,Luis Castillo,Shane Bieber,5,2,680
181,2024-04-02,Final,St. Louis Cardinals,San Diego Padres,Yu Darvish,Miles Mikolas,5,2,2680
182,2024-04-02,Final,New York Yankees,Arizona Diamondbacks,Zac Gallen,Nestor Cortes,0,7,15
183,2024-04-02,Final,San Francisco Giants,Los Angeles Dodgers,Ryan Brasier,Logan Webb,4,5,22
184,2024-04-02,Postponed,Detroit Tigers,New York Mets,Adrian Houser,Casey Mize,0,0,3289
185,2024-04-03,Final,Kansas City Royals,Baltimore Orioles,Corbin Burnes,Cole Ragans,3,4,2
186,2024-04-03,Final,Texas Rangers,Tampa Bay Rays,Aaron Civale,Nathan Eovaldi,4,1,12
187,2024-04-03,Final,Los Angeles Angels,Miami Marlins,A.J. Puk,Patrick Sandoval,10,2,4169
188,2024-04-03,Final,Minnesota Twins,Milwaukee Brewers,Joe Ross,Chris Paddack,7,3,32
189,2024-04-03,Final,Boston Red Sox,Oakland Athletics,Ross Stripling,Nick Pivetta,1,0,10
190,2024-04-03,Final,New York Yankees,Arizona Diamondbacks,Merrill Kelly,Carlos Rodón,6,5,15
191,2024-04-03,Final,Cincinnati Reds,Philadelphia Phillies,Zack Wheeler,Frankie Montas,4,1,2681
192,2024-04-03,Final,Cleveland Guardians,Seattle Mariners,George Kirby,Logan Allen,8,0,680
193,2024-04-03,Final,St. Louis Cardinals,San Diego Padres,Joe Musgrove,Zack Thompson,2,3,2680
194,2024-04-03,Final,Pittsburgh Pirates,Washington Nationals,Trevor Williams,Mitch Keller,3,5,3309
195,2024-04-03,Final,Colorado Rockies,Chicago Cubs,Luke Little,Cal Quantrill,8,9,17
196,2024-04-03,Final,Toronto Blue Jays,Houston Astros,Cristian Javier,Chris Bassitt,0,8,2392
197,2024-04-03,Final,San Francisco Giants,Los Angeles Dodgers,Tyler Glasnow,Kyle Harrison,4,5,22
